,SlNo,Employer,Job Title,Status,Location,Others
16,1,"24/7 Customer, Inc.",Data Scientist,Certified,"Campbell, California",LCA
17,2,"24/7 Customer, Inc.",Data Scientist,Certified,"Campbell, California",LCA
18,3,"24/7 Customer, Inc.",Data Scientist,Certified,"Campbell, California",LCA
19,4,"24/7 Customer, Inc.",Data Scientist,Certified,"Campbell, California",LCA
20,5,"2k Games, Inc.",Data Scientist,Certified,"Novato, California",LCA
21,6,A Medium Corporation,Data Scientist,Certified,"San Francisco, California",LCA
22,7,A Medium Corporation,Data Scientist,Certified,"San Francisco, California",LCA
23,8,"Ace Metrix, Inc.",Data Scientist,Certified,"El Segundo, California",LCA
25,9,"Activision Publishing, Inc.","Sr. Data Scientist, Business Intelligence",Certified,"Santa Monica, California",LCA
26,10,Adalitek Group Llc,Data Scientist 2,In Process,"Foster City, California",LCA
27,11,"Adecco Usa, Inc.",Data Scientist,Certified,"Mountain View, California",LCA
28,12,Adobe Systems Incorporated,"Behavioral Data Scientist, Marketing & Customer Insights",Certified,"San Jose, California",LCA
29,13,Adobe Systems Incorporated,Data Scientist,Certified,"San Jose, California",LCA
30,14,Adobe Systems Incorporated,Data Scientist,Certified,"San Jose, California",LCA
31,15,Adobe Systems Incorporated,Data Scientist,Certified,"San Jose, California",LCA
32,16,Adobe Systems Incorporated,Data Scientist,Certified,"San Jose, California",LCA
33,17,Adobe Systems Incorporated,Data Scientist,Certified,"Emeryville, California",LCA
34,18,Adobe Systems Incorporated,Data Scientist/ Data Scientist Engineer,Certified,"San Jose, California",LCA
35,19,Adobe Systems Incorporated,"Manager, Data Scientist",Certified,"San Jose, California",LCA
36,20,Adobe Systems Incorporated,"Sr. Data Scientist, Machine Learning Applications",Certified,"San Jose, California",LCA
37,21,Aella Data Inc.,Data Scientist,Certified,"Santa Clara, California",LCA
38,22,"Aetion, Inc.",Senior Data Scientist,Certified,"El Segundo, California",LCA
39,23,"Aetion, Inc.",Senior Data Scientist,Certified,"El Segundo, California",LCA
40,24,Aetna Resources Llc,Principal Data Scientist,Certified,"Sunnyvale, California",LCA
41,25,"Affinity Solutions, Inc",Data Scientist,Certified,"San Jose, California",LCA
16,26,"Affirm, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
17,27,"Affirm, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
18,28,"Agilone, Inc.",Data Scientist,Certified,"Sunnyvale, California",LCA
19,29,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
20,30,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
21,31,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
22,32,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
23,33,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
25,34,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
26,35,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
27,36,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
28,37,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
29,38,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
30,39,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
31,40,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
32,41,"Airbnb, Inc.",Data Scientist,Denied,"San Francisco, California",LCA
33,42,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
34,43,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
35,44,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
36,45,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
37,46,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
38,47,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
39,48,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
40,49,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
41,50,"Airbnb, Inc.",Data Scientist,Certified,"San Francisco, California",LCA
16,51,"Airbnb, Inc.",Data Scientist Algorithms,Certified,"San Francisco, California",LCA
17,52,"Airbnb, Inc.",Data Scientist Inference,Certified,"San Francisco, California",LCA
18,53,"Airbnb, Inc.",Data Scientist Inference,Certified,"San Francisco, California",LCA
19,54,"Airbnb, Inc.",Data Scientist Payments And Monetization,Certified,"San Francisco, California",LCA
20,55,"Airbnb, Inc.",Data Scientist Risk,Certified,"San Francisco, California",LCA
21,56,"Airbnb, Inc.",Data Scientists,Certified,"San Francisco, California",LCA
22,57,Aki Technologies,Senior Data Scientist,Certified,"San Francisco, California",LCA
23,58,Akido Labs Inc.,Data Scientist,Certified,"Los Angeles, California",LCA
25,59,Alorica Inc.,Data Scientist,Certified,"Irvine, California",LCA
26,60,Amazon Corporate Llc,Data Scientist,In Process,"Sunnyvale, California",LCA
27,61,"Amazon Fulfillment Services, Inc.",Data Scientist,Certified,"Sunnyvale, California",LCA
28,62,"Amazon Fulfillment Services, Inc.",Data Scientist,Certified,"Sunnyvale, California",LCA
29,63,"Amazon Fulfillment Services, Inc.",Data Scientist,Certified,"Sunnyvale, California",LCA
30,64,Amazon Web Services Inc.,Data Scientist,Certified,"Palo Alto, California",LCA
31,65,"Amazon Web Services, Inc.",Data Scientist,Certified,"Palo Alto, California",LCA
32,66,"Amazon Web Services, Inc.",Data Scientist,Certified,"Sunnyvale, California",LCA
33,67,"Analytic Mix, Inc.",Data Scientist,In Process,"Cupertino, California",LCA
34,68,Anaplan Inc.,Customer Intelligence - Data Scientist,Certified,"San Francisco, California",LCA
