,SlNo,Employer,Job Title,Status,Location,Others
16,1,"360 It Professionals, Inc.",Sr. Data Analyst-mdm,In Process,"San Ramon, California",LCA
17,2,"360 It Professionals, Inc.",Technical Data Analyst,Certified,"Los Angeles, California",LCA
18,3,"A.r.t. Furniture, Inc.",Market Data Analyst,Certified,"Ontario, California",LCA
19,4,"A9.com, Inc",Technical Data Analyst,Certified,"Palo Alto, California",LCA
20,5,"A9.com, Inc.",Technical Data Analyst I,Certified,"Palo Alto, California",LCA
21,6,Abbott Laboratories,Business Data Analyst,Certified,"Alameda, California",LCA
22,7,"Abcyte Therapeutics, Inc.",Data Analyst,Certified,"Palo Alto, California",LCA
23,8,Accrete Hitech Solutions Inc,Data Analyst,Certified,"Santa Clara, California",LCA
25,9,"Acumen Solutions, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
26,10,"Adara, Inc.",Data Analyst,Certified,"Palo Alto, California",LCA
27,11,"Adara, Inc.",Senior Data Analyst,Certified,"Palo Alto, California",LCA
28,12,"Adcolony, Inc.",Data Analyst,In Process,"San Mateo, California",LCA
29,13,"Addepar, Inc.",Data Analyst,Certified,"Mountain View, California",LCA
30,14,"Adecco Usa, Inc.",Data Analyst,Certified,"San Bruno, California",LCA
31,15,Adm Marketing Llc,Data Analyst,Certified,"Burbank, California",LCA
32,16,Adobe Systems Incorporated,Data Analytics Web Devops Engineer,Certified,"San Jose, California",LCA
33,17,Adobe Systems Incorporated,"Senior Data Analyst, Adobe Stock",Certified,"San Francisco, California",LCA
34,18,"Advertising Audit International, Llc",Financial Data Analyst,Certified,"Union City, California",LCA
35,19,"Affirm, Inc.",Data Analytics Lead,Certified,"San Francisco, California",LCA
36,20,"Agama Solutions, Inc.",Business Data Analyst,Certified,"San Leandro, California",LCA
37,21,"Age Of Learning, Inc.",Digital Marketing Data Analyst,Certified,"Glendale, California",LCA
38,22,"Age Of Learning, Inc.",Senior (bi) Data Analyst / Statistician,Certified,"Glendale, California",LCA
39,23,"Agilent Technologies, Inc.",Data Analytics Engineer,Certified,"Santa Clara, California",LCA
40,24,Ahmc Healthcare Inc.,Data Analyst,Certified,"Alhambra, California",LCA
41,25,"Airbnb, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
16,26,"Airbnb, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
17,27,"Airbnb, Inc.",Data Analytics Manager,Certified,"San Francisco, California",LCA
18,28,"Airbnb, Inc.",Data Analytics Manager,Certified,"San Francisco, California",LCA
19,29,"Airbnb, Inc.",Data Analytics Manager,Withdrawn,"San Francisco, California",LCA
20,30,"Airbnb, Inc.",Data Analytics Specialist,Certified,"San Francisco, California",LCA
21,31,Ajinomoto Windsor Inc.,Mdm Data Analyst,Certified,"Ontario, California",LCA
22,32,"Altair Productdesign, Inc.",Data Analyst,Certified,"Torrance, California",LCA
23,33,Amgen Inc,Data Analyst,Certified,"Thousand Oaks, California",LCA
25,34,"Amino, Inc.",Data Analysis Engineer,Certified,"San Francisco, California",LCA
26,35,"Amino, Inc.",Data Analysis Engineer,Withdrawn,"San Francisco, California",LCA
27,36,Anand Software Inc,Data Analyst,In Process,"Stockton, California",LCA
28,37,Anand Software Inc,Data Analyst,In Process,"Stockton, California",LCA
29,38,"Ancestry.com Operations, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
30,39,"Ancestry.com Operations, Inc.",Senior Data Analyst,Certified,"San Francisco, California",LCA
31,40,Angelytix Consulting Llc,Finance And Data Analyst,Certified,"Beverly Hills, California",LCA
32,41,"Anjaneyap, Inc.",Data Analyst,Certified,"San Ramon, California",LCA
33,42,"Anyhealth Insurance Services, Inc.",Data Analyst,Certified,"Rowland Heights, California",LCA
34,43,Appdynamics Inc.,Data Analyst - Sales Analytics,Certified,"San Francisco, California",LCA
35,44,Apple Inc.,(big) Data Analytics Camera Engineer,Certified,"Cupertino, California",LCA
36,45,"Argo Ai, Llc",Performance Data Analyst,Certified,"Mountain View, California",LCA
37,46,Arkrit Llc,Data Analyst,Certified,"Watsonville, California",LCA
38,47,Asap Expo Inc.,Business Data Analyst,Certified,"Rosemead, California",LCA
39,48,"At&t Services, Inc.",Senior Data Analysis,Certified,"El Segundo, California",LCA
40,49,"At&t Services, Inc.",Senior Data Analysis,Certified,"El Segundo, California",LCA
41,50,"Athene Asset Management, L.p.",Sr. Data Analyst,Certified,"El Segundo, California",LCA
16,51,"Atom Tickets, Llc",Senior Data Analyst,In Process,"Santa Monica, California",LCA
17,52,Aurum Capital Management,Data Analyst,Certified,"San Jose, California",LCA
18,53,"Autodesk, Inc.",Customer Success Data Analyst,Certified,"San Francisco, California",LCA
19,54,"Autodesk, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
20,55,"Autodesk, Inc.",Data Analyst,Certified,"San Francisco, California",LCA
21,56,"Autodesk, Inc.","Operations Research Analysts, Data Analytics",Certified,"San Francisco, California",LCA
22,57,"Automanager, Inc.",Business Data Analyst,Certified,"Canoga Park, California",LCA
23,58,"Autotrader.com, Inc.",Business Data Analyst,Certified,"Redwood City, California",LCA
25,59,"Autotrader.com, Inc.",Data Analyst,Certified,"Redwood City, California",LCA
26,60,Bank Of The West,Data Analytics Analyst,Certified,"San Ramon, California",LCA
27,61,Bank Of The West,Data Analytics Analyst,Certified,"San Ramon, California",LCA
28,62,Bank Of The West,Data Analytics Manager,Certified,"San Ramon, California",LCA
29,63,Bank Of The West,It Business Intelligence & Data Analyst,Certified,"San Ramon, California",LCA
30,64,Bank Of The West,Senior Basel Ii Data Analyst,Certified,"San Ramon, California",LCA
31,65,Bank Of The West,Sr. Data Analytics Manager,Certified,"San Ramon, California",LCA
32,66,Bell Info Solutions Llc,Data Analyst,Withdrawn,"San Francisco, California",LCA
33,67,Bell Info Solutions Llc,Data Analyst,Certified,"San Francisco, California",LCA
34,68,Bell Info Solutions Llc,Data Analyst,Withdrawn,"Sanfrancisco, California",LCA
35,69,Bell Info Solutions Llc,Data Analyst,Certified,"San Ramon, California",LCA
36,70,Bell Info Solutions Llc,Data Analyst,Certified,"Sanfrancisco, California",LCA
37,71,"Bell Info Solutions, Llc",Data Analyst,Certified,"San Francisco, California",LCA
38,72,Bellema Co.,Data Analyst,Certified,"Walnut, California",LCA
39,73,Bellema Co.,Data Analyst,Certified,"Walnut, California",LCA
40,74,Bellema Co.,Data Analyst,Certified,"Walnut, California",LCA
41,75,Bill.com,Data Analyst,Certified,"Palo Alto, California",LCA
16,76,Biomarin Inc,Data Analyst,Certified,"Novato, California",LCA
17,77,Biomarin Inc,Data Analyst,In Process,"Novato, California",LCA
