,Employer,count
113,"Facebook, Inc.",78
355,"Uber Technologies, Inc.",68
14,"Airbnb, Inc.",28
180,Linkedin Corporation,23
372,"Wal-mart Associates, Inc.",20
98,Ebay Inc.,17
202,Microsoft Corporation,13
294,Snap Inc.,13
319,"Target Enterprise, Inc.",13
188,"Lyft, Inc.",12
353,"Twitter, Inc.",12
29,Apple Inc.,11
273,Salesforce.com Inc.,11
163,Intel Corporation,10
239,"Paypal, Inc.",10
7,Adobe Systems Incorporated,9
125,General Electric Company,9
325,"Tesla, Inc.",9
357,"Uhana, Inc.",8
216,"Netflix, Inc.",8
387,"Zestfinance, Inc.",8
156,Ibm Corporation,8
228,Nvidia Corporation,7
340,"Touchpal, Inc.",7
304,"Stitch Fix, Inc.",7
189,"Machine Zone, Inc.",7
135,Google Llc,7
198,"Medtronic, Inc.",6
140,"Groupon, Inc.",6
165,Intuit Inc.,6
175,"Kohl's Department Stores, Inc.",6
379,"Xad, Inc.",6
52,"C3, Inc.",5
245,"Pinterest, Inc.",5
277,"Sap Labs, Llc",5
73,Contextlogic Inc.,5
248,"Plum Lending, Inc.",5
282,"Scry Analytics, Inc.",4
44,"Blizzard Entertainment, Inc.",4
233,"Oracle America, Inc",4
54,California Institute Of Technology/jet Propulsion Laboratory,4
86,Databricks Inc.,4
0,"24/7 Customer, Inc.",4
257,"Quora, Inc.",4
388,"Zillow, Inc.",4
380,"Xchange Leasing, Llc",4
38,"Autodesk, Inc.",4
253,"Pure Storage, Inc.",4
208,"Move, Inc",3
162,"Insurance Services Office, Inc.",3
151,"Hotwire, Inc.",3
154,"Hulu, Llc",3
121,"Flyr, Inc.",3
157,"Icuemotion, Llc",3
237,"Palo Alto Networks, Inc.",3
177,"Leantaas, Inc.",3
75,"Conviva, Inc.",3
209,"Move, Inc.",3
179,Levi Strauss & Co.,3
102,"Elevate Credit Service, Llc",3
78,Coursera Inc.,3
94,"Dropbox, Inc.",3
201,"Metromile, Inc.",3
213,"Natera, Inc.",3
100,"Electronic Arts, Inc.",3
256,"Quantifind, Inc.",3
314,"Supply Frame, Inc.",3
19,"Amazon Fulfillment Services, Inc.",3
327,"The Boston Consulting Group, Inc.",3
27,Aol Advertising Inc.,3
